Time	Humidity (%)	Temperature (C)
13:11:59	18.0	5.0
13:12:00	18.0	5.0
13:12:01	18.0	5.0
13:12:02	18.0	5.0
13:12:03	18.0	5.0
13:12:04	18.0	5.0
13:12:05	18.0	5.0
13:12:06	18.0	4.0
13:12:07	18.0	4.0
13:12:08	18.0	4.0
13:12:09	18.0	4.0
13:12:10	18.0	4.0
13:12:11	18.0	4.0
13:12:12	18.0	4.0
13:12:13	18.0	4.0
13:12:14	18.0	4.0
13:12:15	18.0	4.0
13:12:16	18.0	4.0
13:12:17	18.0	4.0
13:12:18	18.0	4.0
13:12:20	18.0	4.0
13:12:21	18.0	4.0
13:12:22	18.0	4.0
13:12:23	18.0	4.0
13:12:24	18.0	4.0
13:12:25	18.0	4.0
13:12:26	18.0	4.0
13:12:27	17.0	3.0
13:12:28	18.0	3.0
13:12:29	17.0	3.0
13:12:30	17.0	3.0
13:12:31	17.0	3.0
13:12:32	17.0	3.0
13:12:33	17.0	3.0
13:12:34	17.0	3.0
13:12:35	17.0	3.0
13:12:36	17.0	3.0
13:12:37	17.0	3.0
13:12:38	17.0	3.0
13:12:39	17.0	3.0
13:12:40	17.0	3.0
13:12:41	17.0	3.0
13:12:43	17.0	3.0
13:12:44	17.0	3.0
13:12:45	17.0	3.0
13:12:46	17.0	3.0
13:12:47	17.0	3.0
13:12:48	17.0	3.0
13:12:49	17.0	2.0
13:12:50	17.0	3.0
13:12:51	17.0	2.0
13:12:52	17.0	2.0
13:12:53	17.0	2.0
13:12:54	17.0	2.0
13:12:55	17.0	2.0
13:12:56	17.0	2.0
13:12:57	17.0	2.0
13:12:58	17.0	2.0
13:12:59	17.0	2.0
13:13:00	17.0	2.0
13:13:01	17.0	2.0
13:13:02	17.0	2.0
13:13:03	17.0	2.0
13:13:05	17.0	2.0
13:13:06	17.0	2.0
13:13:07	17.0	2.0
13:13:08	17.0	2.0
13:13:09	17.0	2.0
13:13:10	17.0	2.0
13:13:11	17.0	1.0
13:13:12	17.0	2.0
13:13:13	17.0	1.0
13:13:14	17.0	1.0
13:13:15	17.0	1.0
13:13:16	17.0	1.0
13:13:17	17.0	1.0
13:13:18	17.0	1.0
13:13:19	17.0	1.0
13:13:20	17.0	1.0
13:13:21	17.0	1.0
13:13:22	17.0	1.0
13:13:23	17.0	1.0
13:13:24	17.0	1.0
13:13:25	17.0	1.0
13:13:27	17.0	1.0
13:13:28	17.0	1.0
13:13:29	17.0	1.0
13:13:30	17.0	1.0
13:13:31	17.0	1.0
13:13:32	17.0	1.0
13:13:33	17.0	1.0
13:13:34	17.0	0.0
13:13:35	17.0	0.0
13:13:36	17.0	0.0
13:13:37	17.0	0.0
13:13:38	17.0	0.0
13:13:39	17.0	0.0
13:13:40	17.0	0.0
13:13:41	17.0	0.0
13:13:42	17.0	0.0
13:13:43	17.0	0.0
13:13:44	17.0	0.0
13:13:45	17.0	0.0
13:13:46	17.0	0.0
13:13:47	17.0	0.0
13:13:48	17.0	0.0
13:13:50	17.0	0.0
13:13:51	17.0	0.0
13:13:52	17.0	0.0
13:13:53	17.0	0.0
13:13:54	17.0	0.0
13:13:55	17.0	0.0
13:13:56	17.0	0.0
13:13:57	17.0	1.0
13:13:58	17.0	1.0
13:13:59	17.0	1.0
13:14:00	17.0	1.0
13:14:01	17.0	1.0
13:14:02	17.0	1.0
13:14:03	17.0	1.0
13:14:04	17.0	1.0
13:14:05	17.0	1.0
13:14:06	17.0	1.0
13:14:07	17.0	1.0
13:14:08	17.0	1.0
13:14:09	17.0	1.0
13:14:10	17.0	1.0
13:14:12	17.0	1.0
13:14:13	17.0	1.0
13:14:14	17.0	1.0
13:14:15	17.0	1.0
13:14:16	17.0	1.0
13:14:17	17.0	1.0
13:14:18	17.0	1.0
13:14:19	17.0	2.0
13:14:20	17.0	2.0
13:14:21	17.0	2.0
13:14:22	17.0	2.0
13:14:23	17.0	2.0
13:14:24	17.0	2.0
13:14:25	16.0	2.0
13:14:26	16.0	2.0
13:14:27	16.0	2.0
13:14:28	16.0	2.0
13:14:29	16.0	2.0
13:14:30	17.0	2.0
13:14:31	16.0	2.0
13:14:32	16.0	2.0
13:14:34	16.0	2.0
13:14:35	17.0	2.0
13:14:36	16.0	2.0
13:14:37	16.0	2.0
13:14:38	16.0	2.0
13:14:39	16.0	2.0
13:14:40	16.0	3.0
13:14:41	16.0	3.0
13:14:42	16.0	3.0
13:14:43	16.0	3.0
13:14:44	16.0	3.0
13:14:45	16.0	3.0
13:14:46	16.0	3.0
13:14:47	17.0	3.0
13:14:48	17.0	3.0
13:14:49	17.0	3.0
